"","study_id","severity","n","first_author","year","1","2","3","4","5","6","7","8","9","10"
"1","1029","Far advanced disease",39,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667
"2","1029","Far advanced disease",45,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA
"3","1029","Far advanced disease",55,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,NA,0.636363636363636,NA,NA
"4","1029","Far advanced disease",64,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,0.609375,NA,NA,NA
"5","1029","Far advanced disease",72,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,0.541666666666667,NA,NA,NA,NA
"6","1029","Far advanced disease",85,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,0.529411764705882,NA,NA,NA,NA,NA
"7","1029","Far advanced disease",99,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,0.535353535353535,NA,NA,NA,NA,NA,NA
"8","1029","Far advanced disease",111,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,0.513513513513513,NA,NA,NA,NA,NA,NA,NA
"9","1029","Far advanced disease",136,"Ailing, Ailing, Lincoln","1954, 1955",NA,0.205882352941176,NA,NA,NA,NA,NA,NA,NA,NA
"10","1029","Far advanced disease",162,"Ailing, Ailing, Lincoln","1954, 1955",0.0123456790123457,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1029","Far advanced disease",224,"Ailing, Ailing, Lincoln","1954, 1955",0.00446428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1029","Minimal disease",128,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609375
"13","1029","Minimal disease",158,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,NA,NA,0.626582278481013,NA
"14","1029","Minimal disease",217,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,NA,0.557603686635945,NA,NA
"15","1029","Minimal disease",263,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,0.627376425855513,NA,NA,NA
"16","1029","Minimal disease",300,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA
"17","1029","Minimal disease",365,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,0.632876712328767,NA,NA,NA,NA,NA
"18","1029","Minimal disease",426,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,0.678403755868545,NA,NA,NA,NA,NA,NA
"19","1029","Minimal disease",439,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,0.79498861047836,NA,NA,NA,NA,NA,NA,NA
"20","1029","Minimal disease",447,"Ailing, Ailing, Lincoln","1954, 1955",NA,0.791946308724832,NA,NA,NA,NA,NA,NA,NA,NA
"21","1029","Minimal disease",448,"Ailing, Ailing, Lincoln","1954, 1955",0.765625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1029","Moderately advanced disease",72,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.694444444444444
"23","1029","Moderately advanced disease",85,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,NA,NA,0.705882352941177,NA
"24","1029","Moderately advanced disease",102,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,NA,0.696078431372549,NA,NA
"25","1029","Moderately advanced disease",116,"Ailing, Ailing, Lincoln","1954, 1955",NA,NA,NA,NA,NA,NA,0.732758620689655,NA,NA,NA
